PlayerName,Date,MatchType(OneDay-T20-Test),OppositionTeam,TossWin,BowlingFirst,BattingFirst,hometeam,LastMatchesPerformance,Last3MatchesPerformance,Last6MatchesPerformance,weather,pitch,Form(InOrOut),Order(BattingBowlingOrder),Performance(IT is label. For Batsman:Runs. For Bowler: Wickets)
Darren Sammy,12-Sep-17,T20,Pakistan,Won,Yes,No,Pakistan,bad,good,good,sunny,hard,out,6,0
Darren Sammy,03-Apr-16,T20,England,Won,Yes,No,None,good,good,average,overcast,dry,in,6,1
Darren Sammy,28-Jun-07,T20,SouthAfrica,Loss,No,Yes,SouthAfrica,average,good,good,sunny,hard,in,4,3
Darren Sammy,29-Jun-07,T20,England,Won,No,Yes,England,good,good,good,sunny,green,in,4,1
Darren Sammy,16-Dec-07,T20,SouthAfrica,Won,Yes,No,SouthAfrica,good,good,good,overcast,dry,in,5,1
Darren Sammy,18-Jan-08,T20,SouthAfrica,Loss,No,Yes,SouthAfrica,good,good,good,humid,hard,in,3,3
Darren Sammy,20-Jun-08,T20,Australia,Won,Yes,No,None,good,good,good,sunny,hard,in,0,0
Darren Sammy,15-Mar-09,T20,England,Loss,Yes,No,England,average,good,good,humid,dry,in,3,1
Darren Sammy,19-Jun-09,T20,SriLanka,Won,Yes,No,England,average,good,good,sunny,dry,in,1,0
Darren Sammy,02-Aug-09,T20,Bangladesh,Won,No,Yes,None,average,bad,good,sunny,green,in,2,2
Darren Sammy,21-Feb-10,T20,Australia,Loss,Yes,No,None,average,average,average,humid,dry,in,3,1
Darren Sammy,23-Feb-10,T20,Australia,Won,No,Yes,None,good,average,bad,humid,hard,in,2,0
Darren Sammy,28-Feb-10,T20,Zimbabwe,Loss,Yes,No,None,average,average,average,overcast,hard,in,5,5
Darren Sammy,30-Apr-10,T20,Ireland,Won,No,Yes,None,average,good,average,overcast,hard,in,5,3
Darren Sammy,03-May-10,T20,England,Won,Yes,No,None,good,good,average,humid,dry,in,5,2
Darren Sammy,07-May-10,T20,SriLanka,Loss,Yes,No,None,good,good,good,humid,green,in,5,0
Darren Sammy,09-May-10,T20,India,Loss,No,Yes,None,average,good,good,sunny,hard,in,1,1
Darren Sammy,11-May-10,T20,Australia,Won,No,Yes,WestIndies,average,average,good,sunny,dry,in,6,1
Darren Sammy,19-May-10,T20,SouthAfrica,Won,No,Yes,None,good,bad,average,humid,green,in,4,0
Darren Sammy,20-May-10,T20,SouthAfrica,Won,Yes,No,None,average,bad,bad,humid,hard,in,5,2
Darren Sammy,21-Apr-11,T20,Pakistan,Won,No,Yes,WestIndies,average,average,bad,overcast,dry,in,2,1
